"zip","city"
2568,"Vineyard Haven, MA (Micro)"
2571,Boston
2575,"Vineyard Haven, MA (Micro)"
2576,Boston
2584, 
2601,"Barnstable Town, MA (Metro)"
2630,"Barnstable Town, MA (Metro)"
2631,"Barnstable Town, MA (Metro)"
2632,"Barnstable Town, MA (Metro)"
2633,"Barnstable Town, MA (Metro)"
2635,"Barnstable Town, MA (Metro)"
2637,"Barnstable Town, MA (Metro)"
2638,"Barnstable Town, MA (Metro)"
2639,"Barnstable Town, MA (Metro)"
2641,"Barnstable Town, MA (Metro)"
2642,"Barnstable Town, MA (Metro)"
2643,"Barnstable Town, MA (Metro)"
2644,"Barnstable Town, MA (Metro)"
2645,"Barnstable Town, MA (Metro)"
2646,"Barnstable Town, MA (Metro)"
2647,"Barnstable Town, MA (Metro)"
2648,"Barnstable Town, MA (Metro)"
2649,"Barnstable Town, MA (Metro)"
2650,"Barnstable Town, MA (Metro)"
2651,"Barnstable Town, MA (Metro)"
2652,"Barnstable Town, MA (Metro)"
2653,"Barnstable Town, MA (Metro)"
2655,"Barnstable Town, MA (Metro)"
2657,"Barnstable Town, MA (Metro)"
2659,"Barnstable Town, MA (Metro)"
2660,"Barnstable Town, MA (Metro)"
2663,"Barnstable Town, MA (Metro)"
2664,"Barnstable Town, MA (Metro)"
2666,"Barnstable Town, MA (Metro)"
2667,"Barnstable Town, MA (Metro)"
2668,"Barnstable Town, MA (Metro)"
2669,"Barnstable Town, MA (Metro)"
2670,"Barnstable Town, MA (Metro)"
2671,"Barnstable Town, MA (Metro)"
2672,"Barnstable Town, MA (Metro)"
2673,"Barnstable Town, MA (Metro)"
2675,"Barnstable Town, MA (Metro)"
2702,"Providence-Warwick, RI-MA (Metro)"
2703,"Providence-Warwick, RI-MA (Metro)"
2713,"Vineyard Haven, MA (Micro)"
2715,"Providence-Warwick, RI-MA (Metro)"
2717,"Providence-Warwick, RI-MA (Metro)"
2718,"Providence-Warwick, RI-MA (Metro)"
